ID,page,content,content2,time,hits,user,class_ID,px,bdate,bcount,btype,title,title2
1007,,"坡屋顶：
<br/>
排水坡度一般大于10％的屋顶。坡屋顶的形式和坡度主要取决于建筑平面、结构形式、屋面材料、气候环境、风俗习惯和建筑造型等因素。<br/>
 形式 坡屋顶在建筑中应用较广,主要有单坡式、双坡式、四坡式和折腰式等。以双坡式和四坡式（见图）采用较多。双坡屋顶尽端屋面出挑在山墙外的称悬山；山墙与屋面砌平的称硬山。中国传统的四坡顶四角起翘的称庑殿；正脊延长，两侧形成两个山花面的称歇山。

<br/><br/>
 双坡或多坡屋顶的倾斜面相互交接，顶部的水平交线称正脊；斜面相交成为凸角的斜交线称斜脊；斜面相交成为凹角的斜交线称斜天沟。<br/>
 坡度  屋面坡度用斜面在垂直面上的投影高度（矢高H）和水平面上的投影长度（半个跨度L/2）之比来表示；也可用高跨比(矢高H和跨度L之比)来表示；或以斜面和水平面的夹角来表示。屋面坡度选取是否合理，影响屋顶的防水效果。坡度大小主要根据所选用的屋面防水层材料的性能和构造决定。如果选用防水性能好、单块面积大、接缝少的材料如卷材、构件自防水、金属薄板等,坡度可以小些；如果选用瓦块铺设屋面,块小、接缝多,坡度应大些。在寒冷地区为防止屋面大量积雪,坡度宜较陡；带有阁楼的屋顶，常采用陡坡屋面或采用两个不同坡度结合的折腰式屋面（孟夏式屋面）。<br/>
 承重结构  坡屋顶的支承结构常用的类型有：<br/>
 山墙承重 房间开间不大的建筑，利用砌成山尖形的承重墙搁置檩条，称为“山墙承重”或“硬山架檩”。各檩等距布置，檩条有木檩、型钢檩和预制钢筋混凝土檩等。檩条的断面尺寸应根据材料、跨度、间距和荷载计算决定,木檩跨度一般不超过4米。檩条上可直接铺放厚15～25毫米的木板，称为“望板”；也可在檩条上先放椽子，再铺望板。<br/>
 屋架承重  房间开间较大、不能用山墙承重的建筑，须设置屋架以支承檩条。屋架由杆件组成，为平面结构，可用木材、钢筋混凝土、预应力混凝土或钢材制作，也可用两种以上材料组合制作。屋架有三角形、拱形、多边形等，以三角形为多。屋架的间距一般与房屋开间尺寸相同，通常为3～4.5米。<br/>
 椽架承重  用密排的人字形椽条制成的支架，支在纵向的承重墙上，上面铺木望板或直接钉挂瓦条。椽架的一般间距为 40～120厘米，椽架的人字形椽条之间须有横向拉杆。<br/>
 屋面板承重 把钢筋混凝土或其他材料制作的大型屋面板直接放在承重山墙或屋架上。<br/>
 屋面材料 屋面铺材种类很多，选用时应根据支承结构形式、屋顶坡度、建筑外观、耐久性、耐火性、防水性、自重、施工要求、造价等作综合考虑。常用的有：<br/>
 平瓦屋面 这种屋面用粘土烧制或水泥砂浆制作的模压成凹凸纹型的平瓦。瓦的外形尺寸一般为400×230×15毫米，瓦背有挂钩，可以挂在挂瓦条上。铺放时上下左右均须搭接。这种屋面建造方便，在民用建筑中应用广泛，缺点是瓦的尺寸小，接缝多，容易渗水漏水。<br/>
 波形瓦屋面 这种屋面常用的有石棉水泥波形瓦、钢丝网水泥波形瓦、彩色玻璃钢波形瓦、镀锌瓦垄铁、铝合金波形瓦以及经过表面着色和防腐处理的木质纤维波形瓦等。波形瓦重量轻，外观和防水性能好，各类波形瓦覆盖方法相近。如石棉水泥波形瓦通常用镀锌铁螺钉或铁钩直接钉在或钩在檩条上，檩条间距一般为 900～1200毫米。瓦与瓦之间须上下左右搭盖，左右搭盖方向应顺着主导风向。为防止上下左右四块瓦的拼接处高低不平，常用切角铺法。<br/>
 其他屋面 此外，还有琉璃瓦、小青瓦、筒板瓦和预制的钢筋混凝土大瓦的屋面等。目前琉璃瓦多用于大型公共建筑如纪念堂等作为屋面或墙檐装饰；小青瓦和筒板瓦多用于民居建筑；钢筋混凝土屋面大瓦有п形板、F形板和钢丝水泥槽瓦等。它们的尺寸大,可直接铺放在屋架或檩条上，不需再另作屋面（见构件自防水屋顶）。<br/>
 构造要求 屋顶的构造必须坚固耐久、防水、防火、保温、隔热、抗腐蚀、自重轻、构造简单、施工方便。
 保温 寒冷地区采暖建筑的坡屋顶，应考虑保温问题。通常有屋面保温和顶棚保温两种方法。屋面保温是将保温材料置于屋面防水层以下，如传统构造中用麦秸泥直接铺瓦或在屋面下铺设轻质保温板等。顶棚保温有两种作法：一种是在吊顶上铺设轻质保温材料；另一种是利用吊顶材料本身的保温性能。这两种作法在设计中都应注意保温构造的通风、隔潮和防腐、防火等问题。<br/>
 隔热通风 目的是降低辐射热对室内影响和保护屋顶材料。在有顶棚的坡屋顶内，屋面和顶棚之间的夹层空间的通风口可设在檐口、屋脊或山墙处，也可在屋顶上开设通气的老虎窗。<br/>
 挑檐 檐口是屋顶和墙的交接部位对墙身起保护作用，也是建筑立面中的装饰部分。根据出挑长度，檐口有多种作法：出挑少的可用砖砌挑檐；出挑稍多的可用椽子挑檐，檐头或外露，或钉封檐板；出挑多的可将屋架下弦的托木或压入墙内的挑檐木挑出，设檐檩，加大出檐深度。<br/>
 排水 坡屋顶上的雨水可沿屋面经屋檐自由泄下；也可在屋檐处设置略带纵坡的水平檐沟，使雨水汇集于有一定间距的垂直雨水管排下。",,"05/28/21 22:26:24",311,"admin",16,2,"05/28/21 00:00:00",0,0,"屋顶装修注意事项",
1008,,"坡屋顶：
<br/>
排水坡度一般大于10％的屋顶。坡屋顶的形式和坡度主要取决于建筑平面、结构形式、屋面材料、气候环境、风俗习惯和建筑造型等因素。<br/>
 形式 坡屋顶在建筑中应用较广,主要有单坡式、双坡式、四坡式和折腰式等。以双坡式和四坡式（见图）采用较多。双坡屋顶尽端屋面出挑在山墙外的称悬山；山墙与屋面砌平的称硬山。中国传统的四坡顶四角起翘的称庑殿；正脊延长，两侧形成两个山花面的称歇山。

<br/><br/>
 双坡或多坡屋顶的倾斜面相互交接，顶部的水平交线称正脊；斜面相交成为凸角的斜交线称斜脊；斜面相交成为凹角的斜交线称斜天沟。<br/>
 坡度  屋面坡度用斜面在垂直面上的投影高度（矢高H）和水平面上的投影长度（半个跨度L/2）之比来表示；也可用高跨比(矢高H和跨度L之比)来表示；或以斜面和水平面的夹角来表示。屋面坡度选取是否合理，影响屋顶的防水效果。坡度大小主要根据所选用的屋面防水层材料的性能和构造决定。如果选用防水性能好、单块面积大、接缝少的材料如卷材、构件自防水、金属薄板等,坡度可以小些；如果选用瓦块铺设屋面,块小、接缝多,坡度应大些。在寒冷地区为防止屋面大量积雪,坡度宜较陡；带有阁楼的屋顶，常采用陡坡屋面或采用两个不同坡度结合的折腰式屋面（孟夏式屋面）。<br/>
 承重结构  坡屋顶的支承结构常用的类型有：<br/>
 山墙承重 房间开间不大的建筑，利用砌成山尖形的承重墙搁置檩条，称为“山墙承重”或“硬山架檩”。各檩等距布置，檩条有木檩、型钢檩和预制钢筋混凝土檩等。檩条的断面尺寸应根据材料、跨度、间距和荷载计算决定,木檩跨度一般不超过4米。檩条上可直接铺放厚15～25毫米的木板，称为“望板”；也可在檩条上先放椽子，再铺望板。<br/>
 屋架承重  房间开间较大、不能用山墙承重的建筑，须设置屋架以支承檩条。屋架由杆件组成，为平面结构，可用木材、钢筋混凝土、预应力混凝土或钢材制作，也可用两种以上材料组合制作。屋架有三角形、拱形、多边形等，以三角形为多。屋架的间距一般与房屋开间尺寸相同，通常为3～4.5米。<br/>
 椽架承重  用密排的人字形椽条制成的支架，支在纵向的承重墙上，上面铺木望板或直接钉挂瓦条。椽架的一般间距为 40～120厘米，椽架的人字形椽条之间须有横向拉杆。<br/>
 屋面板承重 把钢筋混凝土或其他材料制作的大型屋面板直接放在承重山墙或屋架上。<br/>
 屋面材料 屋面铺材种类很多，选用时应根据支承结构形式、屋顶坡度、建筑外观、耐久性、耐火性、防水性、自重、施工要求、造价等作综合考虑。常用的有：<br/>
 平瓦屋面 这种屋面用粘土烧制或水泥砂浆制作的模压成凹凸纹型的平瓦。瓦的外形尺寸一般为400×230×15毫米，瓦背有挂钩，可以挂在挂瓦条上。铺放时上下左右均须搭接。这种屋面建造方便，在民用建筑中应用广泛，缺点是瓦的尺寸小，接缝多，容易渗水漏水。<br/>
 波形瓦屋面 这种屋面常用的有石棉水泥波形瓦、钢丝网水泥波形瓦、彩色玻璃钢波形瓦、镀锌瓦垄铁、铝合金波形瓦以及经过表面着色和防腐处理的木质纤维波形瓦等。波形瓦重量轻，外观和防水性能好，各类波形瓦覆盖方法相近。如石棉水泥波形瓦通常用镀锌铁螺钉或铁钩直接钉在或钩在檩条上，檩条间距一般为 900～1200毫米。瓦与瓦之间须上下左右搭盖，左右搭盖方向应顺着主导风向。为防止上下左右四块瓦的拼接处高低不平，常用切角铺法。<br/>
 其他屋面 此外，还有琉璃瓦、小青瓦、筒板瓦和预制的钢筋混凝土大瓦的屋面等。目前琉璃瓦多用于大型公共建筑如纪念堂等作为屋面或墙檐装饰；小青瓦和筒板瓦多用于民居建筑；钢筋混凝土屋面大瓦有п形板、F形板和钢丝水泥槽瓦等。它们的尺寸大,可直接铺放在屋架或檩条上，不需再另作屋面（见构件自防水屋顶）。<br/>
 构造要求 屋顶的构造必须坚固耐久、防水、防火、保温、隔热、抗腐蚀、自重轻、构造简单、施工方便。
 保温 寒冷地区采暖建筑的坡屋顶，应考虑保温问题。通常有屋面保温和顶棚保温两种方法。屋面保温是将保温材料置于屋面防水层以下，如传统构造中用麦秸泥直接铺瓦或在屋面下铺设轻质保温板等。顶棚保温有两种作法：一种是在吊顶上铺设轻质保温材料；另一种是利用吊顶材料本身的保温性能。这两种作法在设计中都应注意保温构造的通风、隔潮和防腐、防火等问题。<br/>
 隔热通风 目的是降低辐射热对室内影响和保护屋顶材料。在有顶棚的坡屋顶内，屋面和顶棚之间的夹层空间的通风口可设在檐口、屋脊或山墙处，也可在屋顶上开设通气的老虎窗。<br/>
 挑檐 檐口是屋顶和墙的交接部位对墙身起保护作用，也是建筑立面中的装饰部分。根据出挑长度，檐口有多种作法：出挑少的可用砖砌挑檐；出挑稍多的可用椽子挑檐，檐头或外露，或钉封檐板；出挑多的可将屋架下弦的托木或压入墙内的挑檐木挑出，设檐檩，加大出檐深度。<br/>
 排水 坡屋顶上的雨水可沿屋面经屋檐自由泄下；也可在屋檐处设置略带纵坡的水平檐沟，使雨水汇集于有一定间距的垂直雨水管排下。",,"05/28/21 22:26:24",307,"admin",16,2,"05/28/21 00:00:00",0,0,"屋顶装修注意事项",
1009,,"坡屋顶：
<br>
排水坡度一般大于10％的屋顶。坡屋顶的形式和坡度主要取决于建筑平面、结构形式、屋面材料、气候环境、风俗习惯和建筑造型等因素。<br>
 形式 坡屋顶在建筑中应用较广,主要有单坡式、双坡式、四坡式和折腰式等。以双坡式和四坡式（见图）采用较多。双坡屋顶尽端屋面出挑在山墙外的称悬山；山墙与屋面砌平的称硬山。中国传统的四坡顶四角起翘的称庑殿；正脊延长，两侧形成两个山花面的称歇山。

<br><br>
 双坡或多坡屋顶的倾斜面相互交接，顶部的水平交线称正脊；斜面相交成为凸角的斜交线称斜脊；斜面相交成为凹角的斜交线称斜天沟。<br>
 坡度  屋面坡度用斜面在垂直面上的投影高度（矢高H）和水平面上的投影长度（半个跨度L/2）之比来表示；也可用高跨比(矢高H和跨度L之比)来表示；或以斜面和水平面的夹角来表示。屋面坡度选取是否合理，影响屋顶的防水效果。坡度大小主要根据所选用的屋面防水层材料的性能和构造决定。如果选用防水性能好、单块面积大、接缝少的材料如卷材、构件自防水、金属薄板等,坡度可以小些；如果选用瓦块铺设屋面,块小、接缝多,坡度应大些。在寒冷地区为防止屋面大量积雪,坡度宜较陡；带有阁楼的屋顶，常采用陡坡屋面或采用两个不同坡度结合的折腰式屋面（孟夏式屋面）。<br>
 承重结构  坡屋顶的支承结构常用的类型有：<br>
 山墙承重 房间开间不大的建筑，利用砌成山尖形的承重墙搁置檩条，称为“山墙承重”或“硬山架檩”。各檩等距布置，檩条有木檩、型钢檩和预制钢筋混凝土檩等。檩条的断面尺寸应根据材料、跨度、间距和荷载计算决定,木檩跨度一般不超过4米。檩条上可直接铺放厚15～25毫米的木板，称为“望板”；也可在檩条上先放椽子，再铺望板。<br>
 屋架承重  房间开间较大、不能用山墙承重的建筑，须设置屋架以支承檩条。屋架由杆件组成，为平面结构，可用木材、钢筋混凝土、预应力混凝土或钢材制作，也可用两种以上材料组合制作。屋架有三角形、拱形、多边形等，以三角形为多。屋架的间距一般与房屋开间尺寸相同，通常为3～4.5米。<br>
 椽架承重  用密排的人字形椽条制成的支架，支在纵向的承重墙上，上面铺木望板或直接钉挂瓦条。椽架的一般间距为 40～120厘米，椽架的人字形椽条之间须有横向拉杆。<br>
 屋面板承重 把钢筋混凝土或其他材料制作的大型屋面板直接放在承重山墙或屋架上。<br>
 屋面材料 屋面铺材种类很多，选用时应根据支承结构形式、屋顶坡度、建筑外观、耐久性、耐火性、防水性、自重、施工要求、造价等作综合考虑。常用的有：<br>
 平瓦屋面 这种屋面用粘土烧制或水泥砂浆制作的模压成凹凸纹型的平瓦。瓦的外形尺寸一般为400×230×15毫米，瓦背有挂钩，可以挂在挂瓦条上。铺放时上下左右均须搭接。这种屋面建造方便，在民用建筑中应用广泛，缺点是瓦的尺寸小，接缝多，容易渗水漏水。<br>
 波形瓦屋面 这种屋面常用的有石棉水泥波形瓦、钢丝网水泥波形瓦、彩色玻璃钢波形瓦、镀锌瓦垄铁、铝合金波形瓦以及经过表面着色和防腐处理的木质纤维波形瓦等。波形瓦重量轻，外观和防水性能好，各类波形瓦覆盖方法相近。如石棉水泥波形瓦通常用镀锌铁螺钉或铁钩直接钉在或钩在檩条上，檩条间距一般为 900～1200毫米。瓦与瓦之间须上下左右搭盖，左右搭盖方向应顺着主导风向。为防止上下左右四块瓦的拼接处高低不平，常用切角铺法。<br>
 其他屋面 此外，还有琉璃瓦、小青瓦、筒板瓦和预制的钢筋混凝土大瓦的屋面等。目前琉璃瓦多用于大型公共建筑如纪念堂等作为屋面或墙檐装饰；小青瓦和筒板瓦多用于民居建筑；钢筋混凝土屋面大瓦有п形板、F形板和钢丝水泥槽瓦等。它们的尺寸大,可直接铺放在屋架或檩条上，不需再另作屋面（见构件自防水屋顶）。<br>
 构造要求 屋顶的构造必须坚固耐久、防水、防火、保温、隔热、抗腐蚀、自重轻、构造简单、施工方便。
 保温 寒冷地区采暖建筑的坡屋顶，应考虑保温问题。通常有屋面保温和顶棚保温两种方法。屋面保温是将保温材料置于屋面防水层以下，如传统构造中用麦秸泥直接铺瓦或在屋面下铺设轻质保温板等。顶棚保温有两种作法：一种是在吊顶上铺设轻质保温材料；另一种是利用吊顶材料本身的保温性能。这两种作法在设计中都应注意保温构造的通风、隔潮和防腐、防火等问题。<br>
 隔热通风 目的是降低辐射热对室内影响和保护屋顶材料。在有顶棚的坡屋顶内，屋面和顶棚之间的夹层空间的通风口可设在檐口、屋脊或山墙处，也可在屋顶上开设通气的老虎窗。<br>
 挑檐 檐口是屋顶和墙的交接部位对墙身起保护作用，也是建筑立面中的装饰部分。根据出挑长度，檐口有多种作法：出挑少的可用砖砌挑檐；出挑稍多的可用椽子挑檐，檐头或外露，或钉封檐板；出挑多的可将屋架下弦的托木或压入墙内的挑檐木挑出，设檐檩，加大出檐深度。<br>
 排水 坡屋顶上的雨水可沿屋面经屋檐自由泄下；也可在屋檐处设置略带纵坡的水平檐沟，使雨水汇集于有一定间距的垂直雨水管排下。",,"05/28/21 22:26:24",347,"admin",16,2,"05/28/21 00:00:00",0,0,"屋顶装修注意事项",
1010,,"石棉瓦是水泥石棉瓦的简称;水泥抗压能力很强而抗拉能力很弱,而石棉抗压能力很弱而抗拉能力很强,夹石棉是为了提高复合材料的抗拉能力。<br/>
3 合成树脂瓦<br/>
　　也叫塑料瓦，PVC瓦，PVC波浪瓦，复合瓦，轻质瓦，仿古瓦，塑钢瓦、、、、、、<br/>
　　它的主要特点为：<br/>
　　规格：691mm*3000mm （2平方米/张） 重量：2.5千克/平方米 厚度：2.0mm~~~2.5mm<br/>
　　一、耐候卓越—— 使用寿命不低于五十年<br/>
　　采用独特的超耐候抗老化配方设计，经实践验证：在俄罗斯、中国大陆内地、东南沿海、东南亚等各种气候条件下，均表现出良好的适用<br/>
　　二、防水性能突出——免设防水层<br/>
　　在15度-90度坡屋面建筑中使用均免设防水层。彩瓦的材料特性、结构、专利配件及科学合理的安装方式使屋面成为整体的防水系统<br/>
　　三、抗风、抗震——90度建筑立面装饰安全可靠<br/>
　　不论应用在别墅还是高层，内地还是沿海，均能抵御飓风，地震的侵袭，屋面系统安全可靠<br/>
　　四、色彩丰富，个性新颖，持久稳定<br/>
　　精选二十五种色彩是您的建筑个性达意。彩瓦表面光洁、具有较强的耐酸碱性能，因此在任何环境中都不会霉变、腐蚀，雨过如新。<br/>
　　五、防火性能良好<br/>
　　符合国家屋面材料防火要求，达到难燃级标准，有效延缓火势蔓延。<br/>
　　六、隔热、保温——保温性能最高的屋面瓦<br/>
　　2.2mm厚的凡美氟塑彩瓦的导热系数仅为0.06kcal/m.h.℃，是15mm水泥瓦保温性能的6倍<br/>
　　七、隔音性能好<br/>
　　芯层的多孔材料使声能因在多孔壁中摩擦而衰退，从而产生吸音的效果，使屋顶居民免受噪音的侵扰
　　<br/>八、出色的韧性与强度
　　<br/>独有的三层复合结构、双向拉伸工艺处理及精选的原材料，使其比同类产品更具有出色的韧性与强度
　　<br/>九、施工简便——铺装速度最快、施工费用最低
　　<br/>凡美氟塑彩瓦可轻松处理立面及圆弧窗等特殊造型。面积大、重量轻，搬运轻巧；可直接钉、锯、钻、刨
　　<br/>十、经济节约——每平方米可节省约20元以上
　　<br/>凡美氟塑彩瓦坡屋面系统，是目前中高档坡屋面中建筑自重最轻，成本最低的一种
　　<br/>适用范围
　　<br/>适用混凝土结构、钢结构、木结构、砖木混合结构等各种结构新建坡屋面和老建筑平改坡屋面，适用坡度15-90度，适用温度-40℃-70℃
　　<br/>十一、生产设备
　　<br/>要升厂这种瓦需要彩瓦设备",,"05/28/21 22:27:45",338,"admin",16,3,"05/28/21 00:00:00",0,0,"什么是石棉瓦",
1011,,"瓦，原本色泽灰黑无光，然而，紫禁城的琉璃瓦表面光润如镜，这种瓦叫琉璃瓦，作为中国帝王之家的专属用品，也成为中国建筑的象征。最早的琉璃瓦实物见于唐昭陵。<br/>
　　一块色泽美丽的琉璃瓦，必须经过两座窑炉的煅烧方可制成。琉璃的制作工艺是采用两次烧成的方式，第一次将制好的黑色瓦坯烧成洁白的素坯，第二次则是为素坯施釉后烧成色彩缤纷的琉璃瓦。上釉的素坯经过窑火的洗礼，火温稍有差异，出窑的琉璃瓦便呈现出不同的色彩，具有良好的防水性和稳定性。<br/>
　　琉璃瓦与建筑之间出于承重、美观的考量，有着严格的比例关系，数百年来，琉璃匠人们将琉璃的法式总结成口诀，吻兽所放置的位置在正脊和殿顶两坡的交汇处，是屋顶梁柱的支点，要制作琉璃瓦，首先应确定吻兽的大小。按照琉璃行内的口诀，吻兽的高度由大梁决定，为梁高的五分之二。",,"05/28/21 22:28:18",303,"admin",16,4,"05/28/21 00:00:00",0,0,"什么是琉璃瓦",
1012,,"粘土瓦的生产工艺与粘土砖相似，但对粘土的质量要求较高，如含杂质少，塑性高，泥料均化程度高等。中国目前生产的粘土瓦有小青瓦、脊瓦和平瓦。<br/>
　　1) 按瓦的铺设部位分<br/>
　　烧结屋面瓦和烧结配件瓦<br/>
　　屋面瓦按形状分主要有：平瓦、三曲瓦、双筒瓦、鱼鳞瓦、牛舌瓦、板瓦、筒瓦、滴水瓦、沟头瓦、J 形瓦、S形瓦和其他异形瓦。<br/>
　　配件瓦按功能分主要有：檐口瓦和脊瓦两个配瓦系列，其中檐口瓦系列包括：檐口封头、檐口瓦和檐口瓦顶；脊瓦系列包括：脊瓦封头、脊瓦、双向脊顶瓦、三向脊顶瓦和四向脊顶瓦等。此外，不同形状的屋面瓦还有其特有的配件。<br/>
　　2) 按表面状态分：有釉瓦、无釉瓦。<br/>
　　小青瓦：又名蝴蝶瓦、阴阳瓦，是一种弧形瓦。用手工成型，在间歇窑中还原性气氛下烧成，呈青灰色。规格一般为长200～250毫米，宽150～200毫米，广泛用于农村房屋建筑。<br/>
　　脊瓦：覆盖屋脊的瓦。通常有人字形、马鞍形和圆弧形三种。瓦坯采用压制成型，经干燥烧成，可烧成红、青两色。规格一般长为300～425毫米，宽180～230毫米，抗折荷载不低于700N。<br/>
　　平瓦：长方形平面带沟槽的片状瓦，用于覆盖屋面。平瓦的成型有湿压法、半干压法和挤出法三种，以湿压法为最普遍，可烧成红、青两色。按中国标准规定：平瓦的尺寸为400×240～360×220毫米，单片抗折荷载不得小于600 N；覆盖一平方米屋面的瓦，其吸水后的重量不得超过55公斤；在-15℃以下经冻融15次循环后，应无分层、开裂、脱边、掉角等现象，成品中不允许混有欠火瓦。<br/>
　　粘土瓦只能应用于较大坡度的屋面。由于材质脆、自重大、片小，施工效率低，且需要大量木材等缺点，在现代建筑屋面材料中的比例已逐渐下降。",,"05/28/21 22:28:58",324,"admin",16,5,"05/28/21 00:00:00",0,0,"常见的瓦",
1013,,"瓦（ clay tile）一般指粘土瓦。以粘土(包括页岩、煤矸石等粉料)为主要原料，经泥料处理、 成型、 干燥和焙烧而制成。中国瓦的生产比砖早。<br/>
　　从甲骨文字型中，知道3000多年前的屋脊有高耸的装饰或结构构件，但尚未有实物陶瓦的发掘发现。故可知此种构件可能是木制——已腐烂，或铜制——尚未被今人识别，但没有覆盖烧制的陶瓦。<br/>
　　陶瓦或于西周初年（公元前1066年）开始用于屋顶，从岐山遗址可见遗存，判断当时仅用于屋脊部分。到了春秋时期的遗址，较多发现板瓦、筒瓦、瓦当，表面多刻有各种精美的图案，可知屋面也开始覆瓦。<br/>
　　春秋早期，屋面覆瓦的建筑还不多，《春秋》隐公八年：宋公、齐侯、卫侯盟于瓦屋。会盟的地点是在周王朝的温，但经中仅记为覆盖有瓦的屋，可见这是在当时人人皆知的伟大建筑。到了战国时代，一般人的房子也能用瓦了。<br/>
　　到了秦汉形成了独立的制陶业，并在工艺上作了许多改进，如改用瓦榫头使瓦间相接更为吻合，取代瓦钉和瓦鼻。西汉时期工艺上又取得明显的进步，使带有圆形瓦当的筒瓦，由三道工序简化成一道工序，瓦的质量也有较大提高，因称“秦砖汉瓦” 。",,"05/28/21 22:29:28",321,"admin",16,6,"05/28/21 00:00:00",0,0,"瓦的简史",
1014,,"是紫色的吗？？？蓝色的吧？？？<br/>

中国古代封建社会是登记制度森严的时代，颜色也赋予了等级的色彩。皇帝只能用黄色，其次是红色、绿色、青色、蓝色，国民党推翻了封建社会的王朝制度，当然黄色和红色这种象征皇权的颜色就不会再用了。（你看看，故宫、皇陵都是红墙黄色琉璃瓦）<br/>

而中山陵选的是蓝色琉璃瓦，这里用蓝色的琉璃瓦（其实是青色）有其一定的含意，青色象征苍天，和国民党的青天白日的含义呼应，青色琉璃瓦乃含天下为公之意，以此来显示孙中山先生为国为民的博大胸怀。",,"05/28/21 22:29:54",293,"admin",16,7,"05/28/21 00:00:00",0,0,"为什么中山陵的建筑的瓦片是紫色的",
1015,,"瓦片是重要的屋面防水材料，它的使用始于西周早期。1976年，在陕西岐山县凤雏村发现了一组大型建筑基址，其年代，根据对一根炭化木柱所做的放射性炭素测定，结果为公元前1000年左右的西周早期。在屋顶堆积中发现少量的瓦，推测当时只用于屋顶重要部位和部分屋脊上。同时，在陕西扶风召陈村也发现了大型西周建筑基址群，从出土陶器判断，上层建筑是在西周中期修建的。在遗址中发现很多类型的板瓦、筒瓦、还有半瓦当。（板瓦是仰铺在房顶上，筒瓦是覆在两行板瓦之间，瓦当是屋檐前面筒瓦的瓦头。）瓦上都有瓦钉和瓦环，用来固定瓦的位置。在陕西沣西客省庄发现一块瓦残片，断面呈人字形，可能是用于屋脊上的脊瓦；还发现有尚未烧制的瓦坯，推测这里有专门烧制瓦的手工业作坊。在河南洛阳王湾、北京琉璃河董家林等处也发现了西周晚期的瓦。据此推测西周早期宫殿建筑开始在房顶局部（可能在屋脊等处）用瓦，西周晚期至东周初期房顶大部分盖瓦。当时的瓦都是用泥条盘筑拍制的，制法是先用泥条盘筑成圆周形的陶坯，然后将坯筒剖开，四剖或六剖为板瓦，对剖为筒瓦，然后入窑烧制。瓦的厚薄不均，反面有手摸痕，表面有粗而乱的绳纹。<br/>
    瓦片(指甲片)又 指皮类药材经纵切长条后再横切的横切片，形似布瓦或指甲状。  ",,"05/28/21 22:30:17",341,"admin",16,8,"05/28/21 00:00:00",0,0,"瓦片的来源",
1016,,"瓷砖比毛面物反射高10倍据调查显示，大多数家庭、办公建筑偏爱用颜色较亮的瓷砖进行装修，因为明亮的瓷砖不但能使居室看起来富丽、亮堂，还可以在一定程度上弥补采光的不足。中国建筑卫生陶瓷协会秘书长缪斌说，一般，白粉墙的光反射系数为69％—80％，镜面玻璃为82％—88％。而居室的墙壁、地面用某些瓷砖（主要指抛光砖和一部分仿古砖）装饰后，光反射系数高达90％，大大超过人体所能承受的生理适应范围，会造成光污染，损害人的健康。<br/><br/>

    视环境中的光污染大致可分为三种：一是室外视环境污染，如建筑物的反光外墙；二是室内视环境污染，室内瓷砖造成的光污染就属于这一类；三是局部视环境污染，如书本纸张等。其中，抛光砖、仿古砖因采用了相关的技术使砖面的光亮度增加，造成其对光的反射系数变高，甚至比毛面装饰物的反射系数高出10倍左右。光污染可致近视和白内障武警总医院眼科副主任医师陶海对记者说，光污染会使人眼的视网膜受到刺激。一般来说，在连续看几小时电视后，人的视力会暂时下降30%。而长期生活在拥有光滑墙面、地面的居室环境中，光反射会对视网膜产生刺激，超出眼睛的协调性，使眼睛疲劳，甚至导致视觉功能降低。光污染还会对人眼的角膜和虹膜造成伤害，抑制视网膜感光细胞功能的发挥。<br/><br/>
　　
　　视环境中的光污染大致可分为三种：一是室外视环境污染，如建筑物的反光外墙；二是室内视环境污染，室内瓷砖造成的光污染就属于这一类；三是局部视环境污染，如书本纸张等。其中，抛光砖、仿古砖因采用了相关的技术使砖面的光亮度增加，造成其对光的反射系数变高，甚至比毛面装饰物的反射系数高出10倍左右。光污染可致近视和白内障武警总医院眼科副主任医师陶海对记者说，光污染会使人眼的视网膜受到刺激。一般来说，在连续看几小时电视后，人的视力会暂时下降30%。而长期生活在拥有光滑墙面、地面的居室环境中，光反射会对视网膜产生刺激，超出眼睛的协调性，使眼睛疲劳，甚至导致视觉功能降低。光污染还会对人眼的角膜和虹膜造成伤害，抑制视网膜感光细胞功能的发挥。",,"05/28/21 22:30:40",315,"admin",16,9,"05/28/21 00:00:00",0,0,"这些颜色的瓷砖对健康有害",
